territory,habitat,hectare,country,hectare_UpperCI,hectare_LowerCI,stock_MgHa_mean,n,stock_MgHa_se,stock_MgHa_upper_CI,stock_MgHa_lower_CI,n_sites,TierIII_mean,TierIII_LowerCI,TierIII_UpperCI,tierII_gtlt_tier_I,tier_II_overlaps_TierI,tierIII_gtlt_tier_II,tierII_overlaps_tierIII,tierIII_gtlt_tier_I,tierIII_overlaps_tierI,text_position,TierI_mean,TierI_LowerCI,TierI_UpperCI,compiled_EF,compiled_UpperCI,compiled_LowerCI,TierIorII,Total_Stocks,Total_Stocks_se,Total_Stocks_UpperCI,Total_Stocks_LowerCI,Total_SE,Total_Stockers_UpperCI,Total_Stockers_LowerCI
Iceland,marsh,NA,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Iceland,seagrass,500,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,54000,NA,NA,NA,NA,NA,NA
Djibouti,mangrove,533.5000753703997,Djibouti,618.4732925334685,468.44693520046707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,205931.0290929743,17803.016810540707,240112.82136921244,171749.23681673614,NA,NA,NA
Djibouti,marsh,0,Djibouti,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Djibouti,seagrass,NA,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Congo,mangrove,353.60366523882703,Congo,409.92388415376325,310.48646645790325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,136491.01478218724,11799.833377989664,159146.6948679274,113835.33469644708,NA,NA,NA
Congo,marsh,203.68229158325195,Congo,230.2595951370424,123.37261345331997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,51938.98435372925,7303.26383877239,65961.25092417223,37916.71778328626,NA,NA,NA
Congo,seagrass,NA,Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
French Southern Territories,mangrove,570.8453322627288,France,661.766714703411,501.2384415996737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,220346.29825341332,19049.236383774114,256920.83211025962,183771.764396567,NA,NA,NA
French Southern Territories,marsh,0,France,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
French Southern Territories,seagrass,NA,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Singapore,mangrove,580.7095356470442,Singapore,673.2020389460209,509.8998383958568,327.61381000000006,1,NA,NA,NA,1,529.0566523135615,391.67598998364133,666.4373146434816,less than,NA,greater than,NA,greater than,Remote-sensing esimate overlaps Tier I,327.61381000000006,386,351,424,327.61381000000006,NA,NA,Tier II,190248.46347665897,NA,NA,NA,NA,NA,NA
